# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	2068
#@/user_id	mac_didi
a 	啊	c=3 d=0.621885 t=2066
que shi 	確實	c=2 d=0.25284 t=2066
que shi 	缺失	c=2 d=0.254107 t=2066
qun li 	羣裏	c=1 d=0.00701293 t=2066
ran hou 	然後	c=3 d=1.79581 t=2066
rang 	讓	c=1 d=0.216536 t=2066
rang wo 	讓我	c=1 d=0.036334 t=2066
rao lu 	繞路	c=1 d=0.0614212 t=2066
re qing 	熱情	c=1 d=0.245367 t=2066
ren 	人	c=5 d=1.08664 t=2066
ren shou 	忍受	c=1 d=0.0746459 t=2066
ren wu 	任務	c=1 d=0.165299 t=2066
ri 	日	c=3 d=0.609417 t=2066
ri qi 	日期	c=1 d=0.204948 t=2066
ri zhi 	日誌	c=4 d=2.05591 t=2068
rong 	榕	c=1 d=0.0195457 t=2066
rou 	肉	c=1 d=0.0411719 t=2066
ru guo 	如果	c=4 d=0.978035 t=2066
ru zhi 	入職	c=1 d=0.0816756 t=2066
run 	閏	c=1 d=0.970446 t=2066
sa xian 	撒線	c=0 d=0.000207043 t=2066
sa xian pang ren 	撒線旁人	c=1 d=0.00208081 t=2066
san 	三	c=1 d=0.249075 t=2066
san ge 	三個	c=1 d=0.18452 t=2066
san ge yue 	三個月	c=1 d=0.179066 t=2066
san guo 	三國	c=2 d=0.30064 t=2066
san guo zhi 	三國志	c=1 d=0.115903 t=2066
san tian 	三天	c=1 d=0.0266491 t=2066
sha 	殺	c=2 d=0.302147 t=2066
sha 	煞	c=1 d=0.00209124 t=2066
shan 	刪	c=2 d=0.565525 t=2066
shan chu 	刪除	c=1 d=0.0925506 t=2066
shang 	上	c=3 d=0.0666873 t=2066
shang ci 	上次	c=1 d=0.429557 t=2066
shang mian 	上面	c=1 d=0.0163259 t=2066
shang qu 	上去	c=1 d=0.0590129 t=2066
shang shi 	上市	c=1 d=0.00904991 t=2066
she zhi 	設置	c=1 d=0.0614212 t=2066
shen du 	慎獨	c=1 d=0.348192 t=2066
shen du 	深度	c=3 d=1.27234 t=2066
shen me 	什麼	c=6 d=2.20902 t=2066
shen me yong 	什麼用	c=1 d=0.13466 t=2066
sheng 	生	c=1 d=0.97531 t=2066
sheng 	聲	c=3 d=0.173152 t=2066
sheng xia 	剩下	c=1 d=0.00302755 t=2066
shi 	事	c=1 d=0.0561348 t=2066
shi 	是	c=25 d=2.22028 t=2066
shi 	時	c=4 d=1.03864 t=2066
shi bai 	失敗	c=1 d=0.257947 t=2066
shi bu shi 	是不是	c=4 d=1.041 t=2066
shi da 	十大	c=1 d=0.148823 t=2066
shi dai 	時代	c=1 d=0.035437 t=2066
shi fou 	是否	c=2 d=0.0735345 t=2066
shi hou 	時候	c=2 d=0.88413 t=2066
shi jian 	實踐	c=1 d=0.818731 t=2066
shi jian 	時間	c=6 d=0.403355 t=2066
shi li 	勢力	c=1 d=0.0483156 t=2066
shi li biao 	視力表	c=1 d=0.0713613 t=2066
shi qing 	事情	c=1 d=0.0536647 t=2066
shi tang 	食堂	c=1 d=0.0385808 t=2066
shi wo 	是我	c=1 d=0.00694315 t=2066
shi xi sheng 	實習生	c=1 d=0.398519 t=2066
shi yong 	使用	c=3 d=0.673871 t=2066
shou ji 	手機	c=1 d=0.0298969 t=2066
shu 	樹	c=1 d=0.0753961 t=2066
shu 	鼠	c=1 d=0.143704 t=2066
shu chu 	輸出	c=3 d=0.839457 t=2066
shu ju 	數據	c=16 d=2.5881 t=2066
shu ru 	輸入	c=5 d=0.99495 t=2066
shu ru fa 	輸入法	c=5 d=2.75772 t=2066
shu xing 	屬性	c=1 d=0.585669 t=2066
shu xu guan 	鼠鬚管	c=6 d=2.88383 t=2066
shuang 	雙	c=1 d=0.923116 t=2066
shui 	誰	c=3 d=0.131237 t=2066
shui bei 	水杯	c=2 d=1.34079 t=2066
shui ping 	水平	c=2 d=0.118226 t=2066
shuo 	說	c=4 d=0.964689 t=2066
shuo qi lai 	說起來	c=1 d=0.224249 t=2066
shuo shi 	碩士	c=1 d=0.351692 t=2066
si 	思	c=1 d=0.2334 t=2066
si ji 	司機	c=1 d=0.234569 t=2066
si ji duan 	司機端	c=1 d=0.170333 t=2066
si kao 	思考	c=1 d=0.285076 t=2066
sou 	搜	c=1 d=0.0523397 t=2066
sou gou 	搜狗	c=3 d=1.47477 t=2066
su du 	速度	c=1 d=0.927743 t=2066
su zhou 	蘇州	c=2 d=1.71803 t=2066
suan fa 	算法	c=2 d=0.064628 t=2066
suan nai 	酸奶	c=1 d=0.0237541 t=2066
sui zhe 	隨着	c=1 d=0.843665 t=2066
suo 	所	c=1 d=0.0305009 t=2066
suo 	索	c=1 d=0.0526021 t=2066
suo yi 	所以	c=4 d=0.0927325 t=2066
suo you 	所有	c=3 d=0.132349 t=2066
ta 	他	c=1 d=0.0788664 t=2066
ta 	她	c=4 d=1.1963 t=2066
ta de 	他的	c=1 d=0.0692522 t=2066
ta men 	他們	c=2 d=0.911308 t=2066
tai 	太	c=10 d=1.54106 t=2066
tai 	態	c=1 d=0.755784 t=2066
tai gao 	擡高	c=1 d=0.410656 t=2066
tan ce 	探測	c=1 d=0.256661 t=2066
tan xin 	貪心	c=2 d=0.0280343 t=2066
te zheng 	特徵	c=3 d=0.968698 t=2066
ti 	提	c=1 d=0.141564 t=2066
ti jiao 	提交	c=2 d=1.52693 t=2066
ti qian 	提前	c=1 d=0.210136 t=2066
ti shi 	提示	c=1 d=0.0383884 t=2066
ti yan 	體驗	c=1 d=0.860708 t=2066
tian 	天	c=1 d=0.0672055 t=2066
tian 	甜	c=1 d=0.0389686 t=2066
tian 	田	c=2 d=0.677739 t=2066
tian chi 	天池	c=1 d=0.272532 t=2066
tiao tiao 	條條	c=1 d=0.373439 t=2066
ting 	停	c=1 d=0.0678809 t=2066
tong 	同	c=3 d=0.377192 t=2066
tong 	通	c=1 d=0.00286554 t=2066
tong bu 	同步	c=1 d=0.752014 t=2066
tong ji 	統計	c=1 d=0.481909 t=2066
tong shi 	同事	c=3 d=0.968327 t=2066
tong shi 	同時	c=1 d=0.00802655 t=2066
tong shi 	通識	c=1 d=0.240508 t=2066
tong wen 	同文	c=1 d=0.860708 t=2066
tong xing 	同行	c=2 d=0.0056318 t=2066
tong xue 	同學	c=3 d=0.217783 t=2066
tong zu 	同組	c=1 d=0.0325493 t=2066
tou 	頭	c=1 d=0.524663 t=2066
tou su 	投訴	c=1 d=0.211189 t=2066
tu 	圖	c=5 d=0.0355652 t=2066
tu cao 	吐槽	c=1 d=0.472367 t=2066
tu ran 	突然	c=1 d=0.00447164 t=2066
tui 	推	c=1 d=0.489192 t=2066
tui chi 	推遲	c=1 d=0.0265162 t=2066
tui te 	推特	c=1 d=0.460704 t=2066
tui xue 	退學	c=1 d=0.203926 t=2066
wa jue 	挖掘	c=3 d=0.0507276 t=2066
wa jue shu ju 	挖掘數據	c=1 d=0.0134335 t=2066
wa lan 	瓦藍	c=0 d=0.0126268 t=2066
wa lan ba tuo 	瓦藍吧託	c=1 d=0.063609 t=2066
wa lan ba tuo hui yi shi 	瓦藍吧託會議室	c=1 d=0.0632918 t=2066
wai bu 	外部	c=1 d=0.0374406 t=2066
wan 	玩	c=1 d=0.0497871 t=2066
wan cheng 	完成	c=1 d=0.516851 t=2066
wang 	王	c=1 d=0.0146986 t=2066
wang 	網	c=2 d=0.114244 t=2066
wei 	味	c=1 d=0.687289 t=2066
wei 	煒	c=1 d=0.236928 t=2066
wei 	維	c=3 d=0.00959677 t=2066
wei shen 	爲什	c=3 d=0.945248 t=2066
wei shen me 	爲什麼	c=1 d=0.421052 t=2066
wei wen 	維穩	c=1 d=0.0706512 t=2066
wei zi 	位子	c=1 d=0.0112206 t=2066
wen 	問	c=2 d=0.853075 t=2066
wen ben 	文本	c=2 d=1.65879 t=2066
wen jian 	文件	c=3 d=1.05733 t=2066
wen song 	文嵩	c=1 d=0.0623495 t=2066
wen ta 	問他	c=1 d=0.285076 t=2066
wen ti 	問題	c=5 d=1.20389 t=2066
wo 	我	c=36 d=4.30426 t=2066
wo ba 	我把	c=1 d=0.102284 t=2066
wo hai neng 	我還能	c=1 d=0.034562 t=2066
wo kan 	我看	c=2 d=0.909373 t=2066
wo ke 	我可	c=1 d=0.331211 t=2066
wo mei 	我沒	c=1 d=0.00644146 t=2066
wo men 	我們	c=8 d=2.25997 t=2066
wo zhao 	我找	c=1 d=0.124307 t=2066
wu 	吳	c=1 d=0.00349997 t=2066
wu bi 	五筆	c=1 d=0.831104 t=2066
wu fa 	無法	c=1 d=0.771052 t=2066
wu gu 	無故	c=1 d=0.0263839 t=2066
wu nai 	無奈	c=1 d=0.0528657 t=2066
wu yi 	五一	c=1 d=0.798516 t=2066
wu yi zhi zhong 	無意之中	c=1 d=0.382893 t=2066
xi 	吸	c=2 d=0.183723 t=2066
xi jie 	細節	c=1 d=0.020141 t=2066
xi wang 	希望	c=1 d=0.0238732 t=2066
xi xiang 	西廂	c=2 d=0.0877996 t=2066
xia 	下	c=4 d=0.138616 t=2066
xia ci 	下次	c=1 d=0.213312 t=2066
xia qu 	下去	c=1 d=0.00814786 t=2066
xia you 	下游	c=3 d=0.0216136 t=2066
xia zai 	下載	c=3 d=0.257762 t=2066
xia zhou 	下週	c=1 d=0.327915 t=2066
xian 	先	c=1 d=0.00369786 t=2066
xian 	線	c=1 d=0.0485578 t=2066
xian 	鹹	c=2 d=0.0813231 t=2066
xian shang 	線上	c=3 d=0.132252 t=2066
xian shi 	顯示	c=1 d=0.965605 t=2066
xian zai 	現在	c=7 d=1.03195 t=2066
xiang 	想	c=2 d=0.358796 t=2066
xiang 	項	c=2 d=1.91683 t=2066
xiang dao 	想到	c=1 d=0.287941 t=2066
xiang fen qi 	想分期	c=1 d=0.125556 t=2066
xiang guan 	相關	c=1 d=0.995012 t=2066
xiang mu 	項目	c=2 d=0.319819 t=2066
xiang shou 	享受	c=2 d=0.470011 t=2066
xiang xi 	詳細	c=2 d=0.0727821 t=2066
xiao 	小	c=2 d=0.946485 t=2066
xiao 	校	c=1 d=0.239309 t=2066
xiao fei 	消費	c=1 d=0.00687406 t=2066
xiao hao 	小號	c=1 d=0.390628 t=2066
xiao hao 	消耗	c=1 d=0.339596 t=2066
xie 	些	c=2 d=0.0933886 t=2066
xie 	寫	c=4 d=1.31334 t=2066
xie zai 	寫在	c=1 d=0.798516 t=2066
xin 	心	c=1 d=0.00246639 t=2066
xin 	新	c=3 d=0.786895 t=2066
xin biao 	新標	c=1 d=0.15259 t=2066
xin xi 	信息	c=5 d=1.36782 t=2066
xing qi 	興起	c=1 d=0.900325 t=2066
xing shi 	形式	c=1 d=0.0124007 t=2066
xiu 	修	c=1 d=0.0437178 t=2066
xiu fu 	修復	c=1 d=0.255381 t=2066
xiu gai 	修改	c=1 d=0.960789 t=2066
xu 	須	c=1 d=0.144424 t=2066
xu dong 	旭東	c=1 d=0.139457 t=2066
xu lie 	序列	c=1 d=0.017249 t=2066
xuan ze 	選擇	c=2 d=1.16574 t=2066
xue 	學	c=1 d=0.759572 t=2066
xue di 	學弟	c=1 d=0.722527 t=2066
xue mei 	學妹	c=1 d=0.726149 t=2066
xue xi 	學習	c=9 d=3.6947 t=2066
xue xiao 	學校	c=2 d=0.251331 t=2066
xue yuan 	學院	c=1 d=0.16696 t=2066
xun lian 	訓練	c=2 d=0.559898 t=2066
xun zhao 	尋找	c=1 d=0.99005 t=2066
ya li 	壓力	c=1 d=0.0376283 t=2066
yan jing 	眼睛	c=1 d=0.283654 t=2066
yan jiu 	研究	c=1 d=0.557106 t=2066
yao 	要	c=6 d=0.888561 t=2066
ye 	也	c=10 d=1.2604 t=2066
ye 	冶	c=1 d=0.97531 t=2066
ye 	頁	c=1 d=0.0596059 t=2066
yi 	一	c=3 d=0.864553 t=2066
yi 	壹	c=3 d=0.960789 t=2066
yi 	已	c=1 d=0.0365162 t=2066
yi ba 	一把	c=1 d=0.666977 t=2066
yi ban 	一般	c=2 d=0.289768 t=2066
yi bian 	一遍	c=2 d=0.545848 t=2066
yi bu 	一部	c=1 d=0.0473589 t=2066
yi chang 	異常	c=2 d=0.1764 t=2066
yi chang lv 	異常率	c=1 d=0.16696 t=2066
yi ci 	一次	c=2 d=0.00892314 t=2066
yi ding 	一定	c=1 d=0.110251 t=2066
yi duan 	一段	c=1 d=0.00798652 t=2066
yi fen 	一份	c=2 d=0.237474 t=2066
yi ge 	一個	c=16 d=2.35259 t=2066
yi gong 	一共	c=1 d=0.0944202 t=2066
yi hou 	以後	c=2 d=0.107528 t=2066
yi ji 	以及	c=1 d=0.449329 t=2066
yi jian 	一件	c=1 d=0.0558548 t=2066
yi jing 	已經	c=2 d=0.496076 t=2066
yi ju hua 	一句話	c=1 d=0.319819 t=2066
yi lei 	異類	c=1 d=0.160414 t=2066
yi men 	一門	c=1 d=0.280832 t=2066
yi pai 	一排	c=0 d=0.0141564 t=2066
yi si 	意思	c=1 d=0.0605068 t=2066
yi tian 	一天	c=2 d=0.301194 t=2066
yi wen 	一問	c=1 d=0.247833 t=2066
yi xia 	一下	c=12 d=1.03174 t=2066
yi xie 	一些	c=2 d=0.308634 t=2066
yi yang 	一樣	c=3 d=0.675582 t=2066
yi zhi 	一直	c=1 d=0.818731 t=2066
yi zhi 	一致	c=1 d=0.0328764 t=2066
yi zhong 	一種	c=1 d=0.367879 t=2066
ying gai 	應該	c=1 d=0.00197932 t=2066
ying li 	盈利	c=1 d=0.778801 t=2066
yong 	用	c=8 d=1.17611 t=2066
yong guo 	用過	c=1 d=0.137381 t=2066
yong hu 	用戶	c=1 d=0.00255424 t=2066
yong qi 	勇氣	c=1 d=0.0587185 t=2066
you 	又	c=4 d=0.774916 t=2066
you 	有	c=34 d=4.2798 t=2066
you 	郵	c=1 d=0.301194 t=2066
you hua 	優化	c=1 d=0.554327 t=2066
you kong 	有空	c=1 d=0.0385808 t=2066
you mei you 	有沒有	c=1 d=0.0300468 t=2066
you qian 	有錢	c=1 d=0.12493 t=2066
you qing 	友情	c=1 d=0.0381969 t=2066
you xie 	有些	c=3 d=1.7922 t=2066
you xiu 	優秀	c=1 d=0.423162 t=2066
you yao 	又要	c=1 d=0.0263839 t=2066
yu 	與	c=2 d=0.481909 t=2066
yu mi 	玉米	c=1 d=0.0397558 t=2066
yu yan 	語言	c=1 d=0.185444 t=2066
yuan 	原	c=1 d=0.970446 t=2066
yuan 	源	c=2 d=0.681136 t=2066
yuan 	院	c=1 d=0.202909 t=2066
yuan gong 	員工	c=1 d=0.082085 t=2066
yuan lai 	原來	c=2 d=0.136222 t=2066
yuan yin 	原因	c=1 d=0.0500366 t=2066
yue 	月	c=4 d=1.24367 t=2066
yue 	越	c=1 d=0.212248 t=2066
yue du 	閱讀	c=2 d=0.53701 t=2066
yue lai 	越來	c=1 d=0.211189 t=2066
yun 	雲	c=1 d=0.891366 t=2066
yun xing 	運行	c=2 d=0.0871609 t=2066
zai 	再	c=6 d=0.208412 t=2066
zai 	在	c=13 d=4.0457 t=2066
zai jian 	再見	c=1 d=0.0539337 t=2066
zai xian 	在線	c=2 d=0.0660956 t=2066
zao 	早	c=1 d=0.0507928 t=2066
zao dian 	早點	c=1 d=0.110803 t=2066
ze 	澤	c=1 d=0.00351752 t=2066
zen 	怎	c=2 d=1.06631 t=2066
zen me 	怎麼	c=1 d=0.00637737 t=2066
zeng 	增	c=1 d=0.235746 t=2066
zhan 	戰	c=1 d=0.154124 t=2066
zhang hao 	帳號	c=1 d=0.0156076 t=2066
zhao 	找	c=2 d=0.0707079 t=2066
zhao 	招	c=1 d=0.240508 t=2066
zhao dao 	找到	c=2 d=0.119433 t=2066
zhe 	這	c=9 d=0.979866 t=2066
zhe ge 	這個	c=7 d=0.973104 t=2066
zhe ji ge 	這幾個	c=1 d=0.216536 t=2066
zhe jiang 	浙江	c=2 d=0.362726 t=2066
zhe li 	這裏	c=1 d=0.209088 t=2066
zhe yang 	這樣	c=1 d=0.00786762 t=2066
zhe zhang 	這張	c=1 d=0.00852289 t=2066
zhen 	珍	c=1 d=0.00353515 t=2066
zhen 	真	c=1 d=0.394554 t=2066
zhen li 	真理	c=1 d=0.265803 t=2066
zhen shi 	真實	c=2 d=0.638538 t=2066
zheng 	正	c=2 d=1.67053 t=2066
zheng chang 	正常	c=2 d=0.00868777 t=2066
zheng li 	整理	c=4 d=0.77211 t=2066
zheng tian 	整天	c=2 d=0.77807 t=2066
zhi 	之	c=1 d=0.00245409 t=2066
zhi 	值	c=1 d=0.00339653 t=2066
zhi 	志	c=2 d=0.248915 t=2066
zhi 	智	c=1 d=0.579842 t=2066
zhi 	治	c=2 d=0.14344 t=2066
zhi 	知	c=1 d=0.0547488 t=2066
zhi dao 	知道	c=2 d=0.342515 t=2066
zhi hou 	之後	c=1 d=0.400517 t=2066
zhi jie 	直接	c=3 d=0.764291 t=2066
zhi lei 	之類	c=2 d=0.358061 t=2066
zhi nan 	指南	c=2 d=1.56445 t=2066
zhi neng 	只能	c=1 d=0.0742736 t=2066
zhi qian 	之前	c=5 d=0.417413 t=2066
zhi shao 	至少	c=1 d=0.310367 t=2066
zhi shu 	指數	c=1 d=0.774916 t=2066
zhi xin 	置信	c=0 d=0.0044601 t=2066
zhi xin du 	置信度	c=1 d=0.0448245 t=2066
zhi xu yao 	只需要	c=2 d=0.79299 t=2066
zhi ying 	志英	c=1 d=0.107528 t=2066
zhi you 	只有	c=1 d=0.00331267 t=2066
zhong 	中	c=3 d=1.5028 t=2066
zhong 	種	c=1 d=0.666977 t=2066
zhong jian 	中間	c=1 d=0.0930145 t=2066
zhong ying 	中英	c=1 d=0.0258615 t=2066
zhou 	周	c=0 d=0.0292293 t=2066
zhou hui gu 	周回顧	c=2 d=0.635056 t=2066
zhou nian 	週年	c=1 d=0.431711 t=2066
zhu 	住	c=1 d=0.0023935 t=2066
zhu 	朱	c=1 d=0.57695 t=2066
zhu guan 	主觀	c=1 d=0.0547488 t=2066
zhu ti 	主題	c=1 d=0.865022 t=2066
zhu yao 	主要	c=4 d=0.34522 t=2066
zhu yi 	注意	c=1 d=0.0288686 t=2066
zhuan 	轉	c=2 d=0.553179 t=2066
zhuan ye 	專業	c=2 d=0.0625468 t=2066
zhuang tai 	狀態	c=1 d=0.0623495 t=2066
zhun bei 	準備	c=1 d=0.00367942 t=2066
zi ji 	自己	c=3 d=0.491976 t=2066
zi mu 	字幕	c=1 d=0.442639 t=2066
zi ran 	自然	c=1 d=0.18452 t=2066
zong 	總	c=1 d=0.402524 t=2066
zong shu 	綜述	c=1 d=0.263158 t=2066
zong zi 	粽子	c=2 d=0.0429745 t=2066
zou 	走	c=1 d=0.208045 t=2066
zu he 	組合	c=2 d=0.244308 t=2066
zui 	最	c=1 d=0.0119742 t=2066
zui hou 	最後	c=3 d=0.949381 t=2066
zui jin 	最近	c=1 d=0.571209 t=2066
zui xin 	最新	c=1 d=0.00472447 t=2066
zuo 	做	c=4 d=0.43687 t=2066
zuo 	坐	c=1 d=0.112478 t=2066
zuo tian 	昨天	c=6 d=0.580549 t=2066
zuo ye 	作業	c=2 d=1.52299 t=2066
zuo you 	左右	c=1 d=0.0020396 t=2066
zuo zai 	坐在	c=2 d=0.0219426 t=2066
