# Rime user dictionary
#@/db_name	ryen.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	206684
#@/user_id	mac_didi
a 	啊	c=96 d=1 t=206266
dou 	逗	c=5 d=1 t=128285
dou 	都	c=714 d=3.45355 t=206138
dou 	鬥	c=6 d=1 t=133099
dou an 	都按	c=1 d=1 t=201605
dou ba 	都把	c=1 d=1 t=146502
dou ban 	豆瓣	c=42 d=1 t=201780
dou bei 	都被	c=7 d=1 t=169320
dou bi 	都比	c=3 d=1 t=105577
dou bu 	都不	c=2 d=1 t=182483
dou bu hui 	都不會	c=1 d=1 t=39798
dou bu neng 	都不能	c=1 d=1 t=78708
dou bu qu 	都不去	c=1 d=1 t=31993
dou bu shi 	都不是	c=3 d=1 t=119054
dou bu zhi dao 	都不知道	c=2 d=1 t=196311
dou cheng wei 	都成爲	c=1 d=1 t=189742
dou chi 	都吃	c=1 d=1 t=24123
dou di 	兜底	c=2 d=1 t=39435
dou dong 	抖動	c=6 d=3.5868 t=176521
dou dong 	都懂	c=2 d=1 t=138169
dou fu 	豆腐	c=1 d=1 t=185622
dou gai 	斗概	c=1 d=1 t=83793
dou hao 	都好	c=1 d=1 t=77261
dou hen cha 	都很差	c=1 d=1 t=158409
dou hou 	都候	c=1 d=1 t=154965
dou hui 	都會	c=23 d=1 t=191746
dou hui bei 	都會被	c=1 d=1 t=172285
dou hui shi 	都會是	c=1 d=1 t=94419
dou hui yong 	都會用	c=1 d=1 t=149719
dou jiang 	豆漿	c=1 d=1 t=152044
dou ka 	都卡	c=1 d=1 t=188307
dou ke yi 	都可以	c=3 d=0.1 t=193418
dou ke yi shan chu 	都可以刪除	c=1 d=1 t=193419
dou kuai 	都快	c=3 d=1 t=113073
dou kuai yao 	都快要	c=1 d=1 t=86560
dou lai 	都來	c=1 d=1 t=117110
dou mai 	兜賣	c=1 d=1 t=107763
dou mei 	都沒	c=4 d=0.1 t=189990
dou mei shi jian 	都沒時間	c=1 d=1 t=189991
dou mei you 	都沒有	c=27 d=1 t=205921
dou mei you gan 	都沒有幹	c=1 d=1 t=199248
dou mei you gao 	都沒有搞	c=1 d=1 t=191462
dou mei you ren 	都沒有人	c=1 d=1 t=50392
dou mei you zhe yang de 	都沒有這樣的	c=1 d=1 t=192779
dou nan 	都難	c=1 d=1 t=180171
dou neng 	都能	c=18 d=1.00003 t=206244
dou nv 	都女	c=1 d=1 t=135146
dou qiang 	鬥強	c=1 d=1 t=186355
dou qiao 	陡峭	c=3 d=1 t=66554
dou qu 	都去	c=2 d=1 t=191742
dou shi 	都是	c=184 d=1.00005 t=205339
dou shi cuo de 	都是錯的	c=1 d=1 t=153131
dou shi tong gou de 	都是同構的	c=1 d=1 t=200599
dou shi yong 	都使用	c=1 d=1 t=83941
dou shi zai 	都是在	c=2 d=1 t=173239
dou shuo 	都說	c=1 d=1 t=132304
dou tu 	鬥圖	c=1 d=0.00168667 t=4073
dou wang ji 	都忘記	c=1 d=1 t=167112
dou wei 	都爲	c=2 d=1 t=130202
dou xi 	都洗	c=1 d=1 t=166254
dou xiang yao 	都想要	c=1 d=1 t=204583
dou xing 	都行	c=2 d=1 t=135120
dou yao 	都要	c=20 d=1 t=205879
dou yao qu 	都要去	c=1 d=1 t=203942
dou yi jing 	都已經	c=1 d=1 t=131393
dou yin 	抖音	c=8 d=1 t=206604
dou ying gai 	都應該	c=1 d=1 t=187317
dou yong 	都用	c=3 d=1 t=152207
dou you 	都有	c=39 d=1.00174 t=203286
dou yu 	鬥魚	c=1 d=0.114193 t=128283
dou yu shi ke 	鬥魚時刻	c=1 d=1 t=128284
dou zai 	都在	c=30 d=1 t=201962
dou zheng 	鬥爭	c=1 d=1 t=179131
dou zi 	豆子	c=1 d=1 t=69725
du 	堵	c=21 d=2.07946 t=205216
du 	度	c=48 d=1 t=171913
du 	杜	c=3 d=1 t=79900
du 	毒	c=2 d=1 t=131369
du 	渡	c=2 d=1 t=206097
du 	獨	c=3 d=1 t=94310
du 	讀	c=146 d=1.97045 t=206182
du 	賭	c=1 d=1 t=196082
du 	都	c=1 d=1 t=181396
du che 	堵車	c=1 d=1 t=48026
du chu 	獨處	c=1 d=1 t=15884
du dao 	讀到	c=3 d=1 t=145813
du de 	都得	c=1 d=1 t=31695
du guo 	度過	c=2 d=1 t=96244
du guo 	渡過	c=8 d=1.30748 t=185497
du guo 	讀過	c=3 d=1 t=185124
du jiao shou 	獨角獸	c=1 d=1 t=114732
du li 	獨立	c=14 d=1.97531 t=163315
du li de 	獨立的	c=1 d=1 t=155402
du liang 	度量	c=4 d=1.90032 t=168192
du pu 	杜浦	c=1 d=1 t=79901
du qiao 	杜橋	c=3 d=1 t=19302
du qu 	讀取	c=31 d=1 t=201427
du qu de 	都取得	c=1 d=1 t=197198
du qu fu zhu 	讀取輔助	c=1 d=1 t=135773
du ru 	讀入	c=28 d=1 t=193515
du ru hou 	讀入後	c=1 d=1 t=123165
du shang 	賭上	c=1 d=1 t=107353
du shu 	度數	c=1 d=1 t=49787
du shu 	讀書	c=102 d=1 t=206183
du shu hui 	讀書會	c=4 d=1.00057 t=106492
du shu ren 	讀書人	c=1 d=1 t=92604
du shu ri 	讀書日	c=1 d=1 t=145916
du te 	獨特	c=2 d=1 t=128582
du wan 	讀完	c=15 d=1 t=185181
du wan shu 	讀完書	c=1 d=1 t=84146
du wang 	賭王	c=1 d=1 t=58636
du wei 	杜威	c=1 d=1 t=108105
du wu 	讀物	c=1 d=1 t=180367
du xie 	讀寫	c=1 d=1 t=138780
du yan 	讀研	c=2 d=1 t=106704
du you 	獨有	c=2 d=1 t=183020
du zhan 	獨佔	c=1 d=1 t=46284
du zhe 	讀者	c=9 d=1 t=168604
du zhe huo ting zhong de 	讀者或聽衆的	c=1 d=1 t=134119
du zi 	肚子	c=2 d=1 t=153330
duan 	斷	c=9 d=1.0004 t=183793
duan 	段	c=9 d=1.99005 t=164483
duan 	短	c=15 d=1 t=106000
duan 	端	c=37 d=1 t=205455
duan ban 	短板	c=1 d=1 t=160513
duan ban shang 	短板上	c=1 d=1 t=95706
duan dai 	斷代	c=1 d=1 t=66342
duan dan 	短單	c=1 d=1 t=88238
duan dao 	端到	c=1 d=1 t=205454
duan dao duan 	端到端	c=2 d=1 t=26297
duan dian 	斷點	c=8 d=4.84241 t=84843
duan dian 	端點	c=1 d=1 t=72880
duan du 	斷度	c=1 d=1 t=197061
duan duan 	短短	c=1 d=1 t=88595
duan duan xu xu 	斷斷續續	c=3 d=1 t=175816
duan hang 	斷行	c=1 d=1 t=74685
duan kai 	斷開	c=2 d=1 t=113564
duan kou 	端口	c=19 d=1.99502 t=193526
duan ku 	短褲	c=1 d=2.63248e-05 t=4073
duan lian 	鍛鍊	c=22 d=0.1 t=189540
duan lian ren 	鍛鍊人	c=1 d=1 t=189541
duan lian wan 	鍛鍊完	c=3 d=1 t=196346
duan lu 	短路	c=3 d=1 t=119776
duan luo 	段落	c=3 d=1.63128 t=174823
duan qi 	短期	c=4 d=1 t=202282
duan qian 	短淺	c=1 d=1 t=97929
duan que 	短缺	c=1 d=1 t=10810
duan she li 	斷捨離	c=2 d=1 t=86805
duan wen 	短文	c=1 d=0.000939653 t=4073
duan wu 	端午	c=1 d=1 t=136838
duan wu jie 	端午節	c=1 d=1 t=133173
duan xin 	短信	c=7 d=1 t=97629
duan xiu 	短袖	c=1 d=1 t=69490
duan yi xie 	端一些	c=1 d=1 t=130761
duan yu 	短語	c=4 d=1 t=183302
dui 	堆	c=15 d=1 t=198549
dui 	對	c=718 d=1.20948 t=206529
dui 	隊	c=4 d=1 t=98499
dui ba 	對吧	c=10 d=1 t=204674
dui bi 	對比	c=131 d=1.9391 t=205598
dui bi de 	對比的	c=1 d=0.1 t=196947
dui bu 	對不	c=0 d=0.1 t=71316
dui bu dui 	對不對	c=1 d=1 t=129464
dui bu qi 	對不起	c=1 d=1 t=44071
dui bu qi 	對不齊	c=1 d=1 t=71317
dui bu shang 	對不上	c=2 d=1 t=147503
dui chen 	對稱	c=1 d=1 t=144643
dui cheng 	對稱	c=10 d=1 t=182816
dui cheng xing 	對稱性	c=1 d=1 t=200630
dui chu 	堆出	c=1 d=1 t=30137
dui cuo 	對錯	c=1 d=1 t=196992
dui dai 	對待	c=2 d=1 t=171531
dui de 	對的	c=14 d=1 t=205664
dui diao 	對調	c=2 d=1 t=189188
dui die 	堆疊	c=1 d=1 t=26923
dui fang 	對方	c=6 d=1 t=169030
dui fang de 	對方的	c=1 d=1 t=134137
dui gui 	對貴	c=1 d=1 t=78546
dui hua 	對話	c=2 d=1 t=147231
dui ji 	堆積	c=3 d=1 t=203834
dui jie 	對接	c=1 d=1 t=192233
dui ju 	對局	c=2 d=1.00006 t=162882
dui kang 	對抗	c=3 d=1 t=71530
dui lie 	隊列	c=14 d=1 t=179203
dui mian 	對面	c=2 d=1 t=43334
dui ni 	對你	c=6 d=1 t=186154
dui ni men 	對你們	c=1 d=1 t=96669
dui ou 	對偶	c=2 d=1 t=155929
dui qi 	對齊	c=8 d=0.1 t=190027
dui qi ba 	對齊吧	c=1 d=1 t=190028
dui qi zhong 	對其中	c=1 d=1 t=47212
dui shang 	對上	c=5 d=1 t=165113
dui shang mian 	對上面	c=1 d=1 t=61731
dui shu 	對數	c=1 d=1 t=41057
dui ta 	對他	c=1 d=1 t=70333
dui ta 	對它	c=1 d=1 t=138300
dui wai 	對外	c=1 d=1 t=129150
dui wei 	對位	c=1 d=1 t=138209
dui wo 	對我	c=4 d=1 t=149609
dui wo men 	對我們	c=1 d=1 t=188851
dui wu 	隊伍	c=2 d=1 t=139885
dui xian 	兌現	c=1 d=1 t=101243
dui xian 	對線	c=1 d=1 t=64534
dui xian zai 	對現在	c=1 d=1 t=189475
dui xiang 	對象	c=24 d=1 t=189714
dui yi 	對弈	c=2 d=1.58567 t=42183
dui yi xia 	對一下	c=4 d=1 t=181292
dui ying 	對應	c=125 d=0.11454 t=202991
dui ying ba 	對應吧	c=1 d=1 t=181468
dui ying de 	對應的	c=9 d=0.1 t=203633
dui ying de lei 	對應的類	c=1 d=1 t=203634
dui ying dui 	對應對	c=1 d=1 t=136335
dui ying ge 	對應個	c=1 d=1 t=202992
dui you 	隊友	c=3 d=1.97531 t=38606
dui yu 	對於	c=84 d=1.00001 t=195565
dui zhan 	對戰	c=1 d=1 t=77766
dui zhang 	對賬	c=8 d=1 t=139405
dui zhang 	隊長	c=4 d=1.00003 t=4238
dui zhao 	對照	c=11 d=1 t=174937
dui zhao zu 	對照組	c=1 d=1 t=136839
dui zhe 	對着	c=4 d=1 t=200880
dui zhuang 	對撞	c=2 d=1.01935 t=104090
dui zi ji 	對自己	c=1 d=1 t=134739
dun 	燉	c=1 d=1 t=76105
dun 	蹲	c=2 d=1.89137 t=175664
dun 	頓	c=9 d=1 t=168151
dun hou 	敦厚	c=0 d=0.1 t=97408
duo 	剁	c=1 d=1 t=103867
duo 	多	c=311 d=1.07428 t=206037
duo 	朵	c=3 d=1 t=169654
duo bi 	躲避	c=8 d=1 t=174765
duo bi yong du 	躲避擁堵	c=1 d=1 t=63281
duo bu 	多步	c=1 d=1 t=64646
duo can yu 	多參與	c=1 d=1 t=164000
duo ceng 	多層	c=3 d=1 t=143592
duo chang 	多長	c=2 d=1.00015 t=117301
duo chong 	多重	c=2 d=1 t=202363
duo ci 	多次	c=12 d=1 t=200926
duo da 	多大	c=6 d=1 t=161740
duo de 	多的	c=2 d=1 t=199856
duo de duo 	多得多	c=1 d=1 t=168594
duo dian 	多點	c=6 d=1 t=147066
duo du 	多讀	c=1 d=1 t=98254
duo duan 	多端	c=2 d=1 t=56041
duo dui 	多對	c=1 d=1 t=206348
duo duo 	多多	c=7 d=1 t=137397
duo fang 	多放	c=1 d=1 t=99778
duo fang xiang 	多方向	c=1 d=1 t=108771
duo fen 	多份	c=2 d=1 t=176970
duo fen lei 	多分類	c=1 d=1 t=168108
duo gan 	多幹	c=2 d=1.94649 t=126450
duo ge 	多個	c=55 d=1 t=204289
duo ge ren 	多個人	c=1 d=1 t=85422
duo gei 	多給	c=1 d=1 t=198496
duo guan 	奪冠	c=1 d=1 t=5289
duo guan zhu 	多關注	c=1 d=1 t=170545
duo hang 	多行	c=8 d=1 t=199141
duo hao 	多好	c=4 d=1 t=82968
duo hao duo 	多好多	c=1 d=1 t=49272
duo he 	多核	c=1 d=1 t=163618
duo jia 	多加	c=2 d=1 t=65548
duo jia 	多家	c=1 d=1 t=120841
duo jiu 	多久	c=6 d=1 t=138751
duo ju 	多句	c=1 d=1 t=95799
duo kan 	多看	c=4 d=1 t=125994
duo la 	哆啦	c=2 d=1.98511 t=24776
duo lu 	多路	c=1 d=1 t=128762
duo lu xian 	多路線	c=5 d=1 t=200846
duo lun 	多輪	c=1 d=1 t=7459
duo lun 	舵輪	c=1 d=1 t=7458
duo ma 	多瑪	c=1 d=1 t=113061
duo me 	多麼	c=1 d=1 t=162766
duo men 	奪門	c=1 d=1 t=162765
duo nian 	多年	c=5 d=1 t=177786
duo qi 	多期	c=1 d=1 t=89980
duo qu 	多去	c=3 d=1.00228 t=192783
duo qu 	奪取	c=1 d=1 t=127546
duo ren 	多人	c=7 d=1 t=199789
duo ren wu 	多任務	c=11 d=1 t=166636
duo shao 	多少	c=147 d=1.00278 t=205107
duo shao ci 	多少次	c=3 d=1.25924 t=139388
duo shao ge 	多少個	c=4 d=1 t=161554
duo shao nian 	多少年	c=2 d=1 t=194619
duo shao qi 	多少祺	c=1 d=1 t=84705
duo shao qian 	多少錢	c=2 d=1 t=158452
duo shao ren 	多少人	c=1 d=1 t=26118
duo shao tian 	多少天	c=2 d=1 t=130242
duo she bei 	多設備	c=1 d=1 t=176185
duo shou 	多收	c=1 d=1 t=137083
duo shuo 	多說	c=1 d=1 t=61263
duo sui 	多歲	c=1 d=1 t=169048
duo tai 	多臺	c=5 d=1 t=188014
duo tao 	多套	c=1 d=1 t=81830
duo ti 	多提	c=3 d=2.80121 t=22995
duo tian 	多天	c=3 d=1 t=99930
duo tiao 	多條	c=2 d=1 t=203668
duo tou 	多頭	c=3 d=1.0053 t=198772
duo wan 	多玩	c=1 d=1 t=93420
duo wei du 	多維度	c=1 d=1 t=77887
duo wen jian 	多文件	c=1 d=1 t=185953
duo xian 	多線	c=1 d=1 t=45346
duo xian cheng 	多線程	c=6 d=1 t=182944
duo xiang 	多想	c=3 d=1 t=189545
duo xiang 	多項	c=2 d=1 t=79344
duo xiang shi 	多項式	c=2 d=1 t=161151
duo xiao shi 	多小時	c=4 d=1 t=188314
duo xiao shi de 	多小時的	c=2 d=1 t=189373
duo xie 	多寫	c=1 d=1 t=112578
duo xie 	多謝	c=2 d=1 t=112577
duo xue 	多血	c=1 d=1 t=14912
duo yang 	多樣	c=2 d=1 t=42478
duo yang hua 	多樣化	c=1 d=1 t=13541
duo yang xing 	多樣性	c=4 d=1.64404 t=188594
duo ye 	多頁	c=1 d=1 t=132674
duo yi dian 	多一點	c=4 d=1 t=181800
duo yi ge 	多一個	c=1 d=1 t=149677
duo yong 	多用	c=2 d=1 t=143693
duo yu 	多餘	c=10 d=1 t=201163
duo yu yan 	多語言	c=1 d=1 t=143442
duo yue 	多月	c=5 d=1 t=203196
duo zai 	多在	c=1 d=1 t=10320
duo zai 	躲在	c=1 d=1 t=98789
duo zhe yang 	多這樣	c=1 d=1 t=10374
duo zhong 	多種	c=8 d=1 t=186516
duo zong jie 	多總結	c=1 d=1 t=151538
duo zu 	多組	c=2 d=1.97531 t=31300
duo zui 	多嘴	c=1 d=1 t=159616
duo zuo 	多做	c=2 d=1 t=200110
duo zuo chu 	多做出	c=1 d=1 t=199901
e 	惡	c=4 d=1.00048 t=184066
e 	餓	c=2 d=1 t=203984
e 	鵝	c=2 d=1 t=75896
e hua 	惡化	c=1 d=1 t=76690
e huai 	餓壞	c=1 d=1 t=93309
e lie 	惡劣	c=1 d=1 t=132857
e luo si 	俄羅斯	c=17 d=1 t=133112
e mo 	惡魔	c=1 d=1 t=71351
e shou 	餓瘦	c=1 d=1 t=86529
e wai 	額外	c=12 d=1 t=202901
e wai de 	額外的	c=1 d=1 t=205576
e xi 	惡習	c=1 d=1 t=11951
e xin 	噁心	c=4 d=0.1 t=199373
e xin de 	噁心的	c=2 d=1 t=204918
en 	嗯	c=2 d=1 t=130885
en 	恩	c=17 d=1.37158 t=151340
en dian 	恩典	c=1 d=1 t=155045
en en 	嗯嗯	c=12 d=1 t=160435
en zuo si 	恩左思	c=1 d=1 t=72417
er 	二	c=56 d=0.107947 t=202840
er 	兒	c=3 d=1 t=198699
er 	爾	c=12 d=1 t=201263
er 	而	c=40 d=1 t=195754
er 	耳	c=2 d=1 t=104874
er ba 	二八	c=1 d=1 t=97950
er bei 	二倍	c=1 d=1 t=107408
er bu 	而不	c=1 d=1 t=171190
er bu shi 	而不是	c=9 d=1 t=196554
er bu yong 	而不用	c=2 d=1 t=146400
er cha 	二叉	c=2 d=1.9802 t=20240
er cha shu 	二叉樹	c=8 d=1 t=25033
er ci 	二次	c=4 d=1 t=195205
er fei 	而非	c=1 d=1 t=104074
er fen 	二分	c=6 d=1 t=119101
er fen lei 	二分類	c=14 d=1 t=180969
er he yi 	二合一	c=1 d=0.082085 t=4073
er hou 	而後	c=1 d=1 t=184067
er ji 	二級	c=3 d=1 t=109758
er ji 	耳機	c=10 d=1.03472 t=160559
er ji shang 	耳機上	c=1 d=1 t=159182
er jie 	二階	c=25 d=1 t=203600
er jie fa 	二階法	c=1 d=1 t=191070
er jin zhi 	二進制	c=8 d=1 t=141299
er li 	而立	c=1 d=1 t=24730
er lou 	二樓	c=2 d=1.30882 t=145793
er lun 	二輪	c=1 d=1 t=81794
er mian 	二面	c=3 d=1 t=135669
er neng 	而能	c=1 d=1 t=120799
er nv 	兒女	c=1 d=1 t=96872
er qi 	二期	c=2 d=0.1 t=123822
er qie 	而且	c=98 d=2.33268 t=206408
er qie dui 	而且對	c=2 d=1 t=197255
er qie hen 	而且很	c=1 d=1 t=159159
er qu 	二區	c=1 d=1 t=16225
er shang 	而上	c=1 d=1 t=139282
er shi 	二十	c=1 d=1 t=54740
er shi 	而是	c=19 d=1 t=196993
er shi wei 	而是爲	c=1 d=1 t=97007
er shou 	二手	c=9 d=1 t=171671
er shu 	耳熟	c=1 d=1 t=22780
er tong 	兒童	c=1 d=1 t=149119
er wai 	而外	c=1 d=1 t=150083
er wei 	二位	c=2 d=1.91393 t=131223
er wei 	二維	c=1 d=1 t=24024
er wei ma 	二維碼	c=4 d=1 t=129791
er wo 	而我	c=4 d=1 t=188557
er yan 	而言	c=6 d=1 t=192790
er yi 	而已	c=6 d=1 t=186415
er you 	而又	c=0 d=0.1 t=134274
er yu 	耳語	c=2 d=1.99005 t=103275
er yuan 	二元	c=1 d=1 t=23482
er yue 	二月	c=1 d=1 t=107444
er yue fen 	二月份	c=2 d=1 t=119135
er zai yu 	而在於	c=1 d=1 t=89163
er zhan 	二戰	c=1 d=1 t=147853
er zi 	兒子	c=2 d=1 t=106221
fa 	伐	c=1 d=1 t=67432
fa 	法	c=46 d=1 t=200058
fa 	發	c=173 d=2.25067 t=205882
fa ba 	發吧	c=1 d=1 t=27463
fa biao 	發表	c=9 d=0.1 t=196579
fa biao de 	發表的	c=1 d=1 t=196580
fa bu 	發佈	c=41 d=1.15948 t=200563
fa bu chu qu 	發佈出去	c=1 d=1 t=34503
fa bu hui 	發佈會	c=15 d=1 t=130726
fa cai 	發財	c=6 d=1 t=201399
fa chu 	發出	c=2 d=1 t=127461
fa chu lai 	發出來	c=2 d=1 t=57695
fa chu qu 	發出去	c=1 d=1 t=112549
fa cuo 	發錯	c=3 d=1 t=126697
fa da 	發達	c=1 d=1 t=100821
fa dai 	發呆	c=11 d=1 t=205414
fa dan 	發單	c=25 d=1 t=205209
fa dan 	罰單	c=1 d=1 t=14638
fa dan hou 	發單後	c=2 d=1 t=205213
fa dan lv 	發單率	c=1 d=1 t=202371
fa dan qian 	發單前	c=1 d=1 t=47990
fa dan shi 	發單時	c=1 d=1 t=56023
fa dao 	發到	c=3 d=1 t=177905
fa de 	發的	c=15 d=1 t=204442
fa dong ji 	發動機	c=1 d=1 t=12648
fa dou 	發抖	c=2 d=1 t=52488
fa feng 	發封	c=1 d=1 t=135132
fa ge 	發個	c=4 d=1.43171 t=206023
fa gei 	發給	c=22 d=0.1 t=203464
fa gei wo 	發給我	c=1 d=1 t=203465
fa guang 	發光	c=1 d=1 t=12499
fa guo 	法國	c=2 d=1 t=56270
fa guo 	發過	c=2 d=1 t=150194
fa guo lai 	發過來	c=2 d=1 t=146573
fa guo qu 	發過去	c=1 d=1 t=38395
fa hao 	發號	c=1 d=1 t=88185
fa hui 	發揮	c=4 d=1 t=176583
fa huo 	發貨	c=5 d=1.06081 t=156890
fa jian ren 	發件人	c=1 d=1 t=204953
fa kuan 	罰款	c=1 d=1 t=181668
fa lai 	發來	c=1 d=1 t=16087
fa lang 	髮廊	c=1 d=1 t=75190
fa li 	發力	c=1 d=1 t=203326
fa lun gong 	法輪功	c=1 d=1 t=43361
fa lun wen 	發論文	c=1 d=1 t=104186
fa lv 	法律	c=3 d=1 t=199713
fa mu 	伐木	c=1 d=1 t=133712
fa piao 	發票	c=16 d=1 t=203641
fa pin 	發拼	c=1 d=1 t=42632
fa qi 	發起	c=1 d=1 t=34947
fa qi ren 	發起人	c=1 d=1 t=175367
fa qing 	發情	c=1 d=1 t=113504
fa qing qiu 	發請求	c=1 d=1 t=84789
fa she 	發射	c=1 d=1 t=93928
fa shen me 	發什麼	c=1 d=0.100259 t=4073
fa sheng 	發生	c=39 d=1 t=191747
fa shou 	發售	c=3 d=1.02872 t=135590
fa song 	發送	c=38 d=1.00181 t=201421
fa song dao 	發送到	c=1 d=1 t=118913
fa tie 	發帖	c=5 d=1 t=185496
fa wo 	罰我	c=1 d=1 t=75376
fa xi si 	法西斯	c=1 d=1 t=34599
fa xian 	發現	c=151 d=1.0002 t=205738
fa xian zhi qian 	發現之前	c=1 d=1 t=193881
fa xiao xi 	發消息	c=1 d=1 t=90556
fa xing 	發行	c=1 d=1 t=69628
fa yan 	發言	c=3 d=1 t=195011
fa yan quan 	發言權	c=1 d=1 t=182611
fa yang 	發揚	c=1 d=1 t=183060
fa yi fen 	發一份	c=1 d=1 t=101853
fa yi ge 	發一個	c=4 d=1.00002 t=88122
fa yi xia 	發一下	c=13 d=1 t=201006
fa you jian 	發郵件	c=1 d=1 t=73207
fa zai 	發在	c=3 d=1 t=117584
fa ze 	法則	c=8 d=1 t=205618
fa zhan 	發展	c=19 d=1.00001 t=184800
fa zhan cheng 	發展成	c=1 d=1 t=85356
fa zhan chu 	發展出	c=1 d=1 t=154002
fa zi 	發自	c=1 d=1 t=177701
fa zuo 	發作	c=1 d=1 t=104121
fan 	凡	c=4 d=1 t=155931
fan 	反	c=25 d=1 t=202502
fan 	帆	c=1 d=1 t=87750
fan 	煩	c=6 d=1 t=146942
fan 	犯	c=1 d=1 t=152535
fan 	翻	c=4 d=1 t=164583
fan 	芃	c=1 d=1 t=7565
fan 	范	c=14 d=1 t=182529
fan 	返	c=3 d=1 t=184015
fan 	飯	c=27 d=1.56315 t=205523
fan bei 	翻倍	c=1 d=1 t=107941
fan chang 	反常	c=2 d=1 t=11841
fan cheng 	返程	c=2 d=1 t=163147
fan chi 	飯吃	c=2 d=1 t=196314
fan dao 	翻到	c=1 d=1 t=9719
fan dian 	飯店	c=1 d=1 t=40401
fan dui 	反對	c=1 d=1 t=163305
fan er 	反而	c=1 d=1 t=160504
fan fa 	犯法	c=1 d=1 t=108964
fan fou 	飯否	c=4 d=1.81873 t=175935
fan fu 	反覆	c=4 d=1 t=138930
fan guo lai 	反過來	c=1 d=1 t=41378
fan hou 	飯後	c=0 d=0.1 t=199892
fan hua 	反話	c=1 d=1 t=126463
fan hua 	泛化	c=13 d=1 t=204784
fan hua 	繁花	c=1 d=0.00321477 t=4073
fan hua si jin 	繁花似錦	c=1 d=0.00324708 t=4073
fan hua xing 	泛化性	c=1 d=1 t=55000
fan huang 	泛黃	c=1 d=1 t=122920
fan hui 	返回	c=56 d=1 t=188339
fan hui zhi 	返回值	c=1 d=1 t=138592
fan ju 	飯局	c=1 d=1 t=195619
fan kan 	翻看	c=1 d=1 t=200589
fan kang 	反抗	c=1 d=1 t=26549
fan kui 	反饋	c=18 d=1 t=200303
fan lan 	氾濫	c=1 d=1 t=12240
fan li 	範例	c=1 d=1 t=65671
fan mai 	販賣	c=1 d=1 t=204976
fan mian 	反面	c=1 d=1 t=13210
fan nao 	煩惱	c=4 d=1 t=156925
fan pai 	反派	c=2 d=1.08501 t=104789
fan pai 	翻拍	c=1 d=1 t=87101
fan pu gui zhen 	返璞歸真	c=1 d=1 t=176472
fan qiang 	翻牆	c=2 d=1 t=199816
fan qie 	番茄	c=10 d=1 t=136065
fan she shi 	反射式	c=1 d=1 t=10169
fan shi 	範式	c=5 d=1 t=168162
fan shi er 	範式二	c=1 d=1 t=143604
fan shou 	反手	c=1 d=1 t=30770
fan si 	反思	c=11 d=1 t=201451
fan suo 	繁瑣	c=3 d=1 t=191349
fan tang 	飯堂	c=9 d=1 t=204150
fan tui 	反推	c=1 d=1 t=65795
fan wan 	翻完	c=1 d=1 t=180345
fan wei 	反胃	c=1 d=1 t=200362
fan wei 	範圍	c=40 d=1 t=201271
fan wei nei 	範圍內	c=2 d=1 t=178016
fan xiang 	反向	c=36 d=1 t=200619
fan xiang 	反響	c=1 d=2.22093e-05 t=4073
fan ye 	翻頁	c=2 d=1 t=95452
fan yi 	翻譯	c=13 d=1 t=201474
fan yi cheng 	翻譯成	c=3 d=1 t=195783
fan yi de 	翻譯的	c=1 d=1 t=195768
fan yi zhong 	翻譯中	c=1 d=1 t=163710
fan ying 	反應	c=29 d=1.03916 t=194333
fan ying 	反映	c=4 d=1 t=171546
fan ying guo lai 	反應過來	c=1 d=1 t=188316
fan zheng 	反正	c=38 d=1.00581 t=206089
fan zheng shi 	反正是	c=1 d=1 t=139439
fan zhi 	反之	c=4 d=0.1 t=155920
fan zhi wei 	反之爲	c=1 d=1 t=155921
fan zhuan 	反轉	c=2 d=1 t=51265
fan zhuan 	翻轉	c=3 d=1 t=200919
fan zui 	犯罪	c=2 d=1 t=167090
fang 	房	c=8 d=1 t=161883
fang 	放	c=53 d=1.00011 t=205869
fang 	方	c=60 d=1 t=200831
fang 	防	c=2 d=1 t=103891
fang an 	方案	c=78 d=1.00015 t=206503
fang an er 	方案二	c=1 d=1 t=202841
fang an yi 	方案一	c=1 d=1 t=202842
fang bian 	方便	c=41 d=1 t=187869
fang bian de 	方便的	c=1 d=1 t=150091
fang bian mian 	方便麪	c=6 d=1.0012 t=116872
fang bu fang bian 	方不方便	c=2 d=1 t=69099
fang bu xia 	放不下	c=1 d=1 t=11011
fang cha 	方差	c=17 d=1 t=201805
fang cha da 	方差大	c=1 d=1 t=84587
fang cha xiao 	方差小	c=1 d=1 t=84588
fang chan 	房產	c=1 d=1 t=116135
fang cheng 	方程	c=4 d=1 t=113961
fang chu 	放出	c=1 d=1 t=144613
fang chu lai 	放出來	c=1 d=1 t=94487
fang da 	放大	c=10 d=1 t=147149
fang dai 	房貸	c=1 d=1 t=145376
fang dao 	放到	c=58 d=1.05902 t=204677
fang de 	放得	c=1 d=1 t=168880
fang de 	放的	c=1 d=1 t=165064
fang dong 	房東	c=11 d=0.1 t=199872
fang dong yao 	房東要	c=1 d=1 t=199873
fang fa 	方法	c=339 d=1.00071 t=206526
fang fa lun 	方法論	c=6 d=1 t=167060
fang fa shi 	方法是	c=1 d=1 t=22210
fang fang 	方方	c=1 d=1 t=119196
fang fu 	彷彿	c=1 d=1 t=119131
